tradeday,account,nav
2017-06-16,XLIN01,1012.7
2017-06-19,XLIN01,1037.15
2017-06-20,XLIN01,1022.25
2017-06-21,XLIN01,1043.9
2017-06-22,XLIN01,1051.05
2017-06-23,XLIN01,1068.25
2017-06-26,XLIN01,1069.8
2017-06-27,XLIN01,1049.9
2017-06-28,XLIN01,1070.3
2017-06-29,XLIN01,1049.75
2017-06-30,XLIN01,2047.3500000000001
2017-07-03,XLIN01,2054.1
2017-07-04,XLIN01,2054.1
2017-07-05,XLIN01,2048.7
2017-07-06,XLIN01,2037.3799999999999
2017-07-07,XLIN01,2040.63
2017-07-10,XLIN01,2028.3200000000002
2017-07-11,XLIN01,2037.66
2017-07-12,XLIN01,2358.85
2017-07-13,XLIN01,2364.78
2017-07-14,XLIN01,2902.6500000000005
2017-07-17,XLIN01,2896.0300000000007
2017-07-18,XLIN01,2893.4100000000003
2017-07-19,XLIN01,2922.6400000000003
2017-07-20,XLIN01,2938.9100000000003
2017-07-21,XLIN01,2932.95
2017-07-24,XLIN01,2933.0699999999997
2017-07-25,XLIN01,2968.4300000000003
2017-07-26,XLIN01,2995.8900000000003
2017-07-27,XLIN01,2970.29
2017-07-28,XLIN01,2978.63
2017-07-31,XLIN01,3478.8500000000004
2017-08-01,XLIN01,3670.01
2017-08-02,XLIN01,3660.8599999999997
2017-08-03,XLIN01,3632.1900000000005
2017-08-04,XLIN01,3644.9700000000003
2017-08-07,XLIN01,3671.8100000000004
2017-08-08,XLIN01,3654.8500000000004
2017-08-09,XLIN01,3642.2200000000007
2017-08-10,XLIN01,3572.6800000000007
2017-08-11,XLIN01,3582.8750000000005
2017-08-14,XLIN01,3580.3650000000007
2017-08-15,XLIN01,3556.6550000000007
2017-08-16,XLIN01,3557.3350000000005
2017-08-17,XLIN01,3491.0850000000005
2017-08-18,XLIN01,3477.125000000001
2017-08-21,XLIN01,3476.3450000000007
2017-08-22,XLIN01,3521.155
2017-08-23,XLIN01,3520.8050000000003
2017-08-24,XLIN01,3433.9050000000007
2017-08-25,XLIN01,3454.8950000000004
2017-08-28,XLIN01,3455.8050000000003
2017-08-29,XLIN01,3472.2850000000008
2017-08-30,XLIN01,3513.5750000000007
2017-08-31,XLIN01,3509.0250000000005
2017-09-01,XLIN01,3542.685000000001
2017-09-04,XLIN01,3542.685000000001
2017-09-05,XLIN01,3518.155
2017-09-06,XLIN01,3547.1950000000006
2017-09-07,XLIN01,3586.3750000000005
2017-09-08,XLIN01,3491.2750000000005
2017-09-11,XLIN01,3532.2150000000006
2017-09-12,XLIN01,3577.175
2017-09-13,XLIN01,3609.7250000000004
2017-09-14,XLIN01,3582.635
2017-09-15,XLIN01,3591.8650000000007
2017-09-18,XLIN01,3563.4650000000006
2017-09-19,XLIN01,3554.8550000000005
2017-09-20,XLIN01,3541.9850000000006
2017-09-21,XLIN01,3491.775000000001
2017-09-22,XLIN01,3489.8050000000003
2017-09-25,XLIN01,3448.745000000001
2017-09-26,XLIN01,3440.0450000000005
2017-09-27,XLIN01,3428.9850000000006
2017-09-28,XLIN01,3415.995000000001
2017-09-29,XLIN01,3402.735
2017-10-02,XLIN01,3406.5550000000007
2017-10-03,XLIN01,3455.815000000001
2017-10-04,XLIN01,3459.7050000000004
2017-10-05,XLIN01,3497.3550000000005
2017-10-06,XLIN01,3482.0950000000007
2017-10-09,XLIN01,3454.7950000000005
2017-10-10,XLIN01,3482.9950000000003
2017-10-11,XLIN01,3495.5150000000003
2017-10-12,XLIN01,3520.215
2017-10-13,XLIN01,3556.475000000001
2017-10-16,XLIN01,3511.0550000000007
2017-10-17,XLIN01,3516.8350000000005
2017-10-18,XLIN01,3517.745000000001
2017-10-19,XLIN01,3519.065
2017-10-20,XLIN01,3522.9850000000006
2017-10-23,XLIN01,3503.3850000000007
2017-10-24,XLIN01,3509.7950000000005
2017-10-25,XLIN01,3432.0750000000007
2017-10-26,XLIN01,3517.125000000001
2017-10-27,XLIN01,3546.7250000000004
2017-10-30,XLIN01,3525.6250000000005
2017-10-31,XLIN01,3521.475000000001
2017-11-01,XLIN01,6028.8150000000005
2017-11-02,XLIN01,6044.535000000001
2017-11-03,XLIN01,6057.715
2017-11-06,XLIN01,6029.615
2017-11-07,XLIN01,6046.975000000001
2017-11-08,XLIN01,6069.575000000001
2017-11-09,XLIN01,6065.055000000001
2017-11-10,XLIN01,6117.085000000001
2017-11-13,XLIN01,6141.745000000001
2017-11-14,XLIN01,6123.860000000001
2017-11-15,XLIN01,6114.550000000002
2017-11-16,XLIN01,6187.320000000001
2017-11-17,XLIN01,6286.180000000002
2017-11-20,XLIN01,6256.200000000003
2017-11-21,XLIN01,6280.580000000001
2017-11-22,XLIN01,6308.300000000002
2017-11-23,XLIN01,6308.300000000002
2017-11-24,XLIN01,6298.620000000002
2017-11-27,XLIN01,6195.49
2017-11-28,XLIN01,6265.870000000001
2017-11-29,XLIN01,6254.800000000001
2017-11-30,XLIN01,6333.650000000001
2017-12-01,XLIN01,6332.286000000002
2017-12-04,XLIN01,6396.636000000001
2017-12-05,XLIN01,6398.766000000001
2017-12-06,XLIN01,6403.816000000001
2017-12-07,XLIN01,6421.076000000001
